step,simulated_time_sec,velocity_clicks_per_min,toxicity,expected_reward,rpe,dopamine_level,dopamine_baseline,tolerance,risk_index,control_signal_u,intervention_type,interaction_type,lambda_intensity,alpha1_effective,alpha2,decay_factor
104,2242.702506583684,337.07174198084715,0.7665479432460429,0.6658787674222005,0.17053451652244433,1.0,0.2,0.6658787674222005,0.9117748205034569,0.5091257795144966,break,click,0.3000021670032444,0.38259431209404127,0.3,0.7551911361394819
105,2281.8933358979884,30.619408187976543,0.7605187118447604,0.6197562248927653,-0.24734515126484968,0.9043056815041778,0.2,0.6197562248927653,0.9112186693528237,0.7522082332496168,break,click,0.300000050148939,0.20823078483147547,0.3,0.4129863025332071
106,2315.901755498906,211.71227844429902,0.7936694725785574,0.6275355561612761,0.041718859451887136,0.8438100895191211,0.2,0.6275355561612761,0.7663231743034309,0.9384692179676124,break,click,0.30000186630783826,0.04898492139010086,0.3,0.09466274506049743
107,2333.8655507266653,167.0025716706087,0.8425907598291201,0.6280041633573068,0.0025130383415448154,1.0,0.2,0.6280041633573068,0.938551367041288,0.9672642320190955,break,click,0.30253255496359943,0.02930049481782715,0.3,0.054559616553514045
108,2345.6976235927164,50.70962685849791,0.9105689308990743,0.6076168606960484,-0.10933266433464728,0.9043056815041778,0.2,0.6076168606960484,0.9596101441114506,0.9755502173510282,break,click,0.3440790672342774,0.024520228110059456,0.3,0.04345804656003349
109,2368.26959180555,132.90821481373123,0.8038966538208083,0.6002450779893782,-0.03953326526848011,0.6687457539921505,0.2,0.6002450779893782,0.7717544504425776,0.9216652605353298,break,click,0.300308577580866,0.07970276808787008,0.3,0.15281649786874796
110,2409.2650641021432,73.17881297465391,0.8510953525533459,0.5847262890478897,-0.08322388549438786,0.49454613924203666,0.2,0.5847262890478897,0.671169928197131,0.8616067962399735,break,click,0.3000000214279939,0.16167727389335945,0.3,0.2991596292367823
111,2418.4003765223724,65.67919873997542,0.7369226639809959,0.5597083127448073,-0.13416595863242248,0.3657232698363789,0.2,0.5597083127448073,0.5529634700978311,0.7958494244075706,break,click,1.060784654923647,0.22563862510540378,0.3,0.456048368414548
112,2435.7453061225465,103.7767256191085,0.7914616604999759,0.5533204763510421,-0.03425657547093364,0.2704570908283893,0.2,0.5533204763510421,0.5064551226209724,0.7043521439112691,break,click,0.304064903275849,0.3089783022196671,0.3,0.5981174503082991
113,2458.904338613421,310.8938166064207,0.8175062011860056,0.5988285512167923,0.24404989499998664,0.8312960988146645,0.2,0.5988285512167923,0.4681674662602703,0.6007708800039989,break,click,0.3007294844085057,0.3865437546865075,0.3,0.7334761580980506
114,2470.1956447365405,159.41468421570798,0.8221423957041962,0.6009750120315772,0.011511001904940699,1.0,0.2,0.6009750120315772,0.9377132497710152,0.8329367441407564,break,click,0.3620409717722233,0.17874376565788716,0.3,0.3379813063983269
