step,simulated_time_sec,dopamine_level,toxicity,control_signal_u,friction_delay_applied
140,2976.588928242252,0.9043056815041778,0.13615139707106536,0.7416408583583683,1.8541021458959208
141,2988.9042745526535,0.8894368624298135,0.7026533007065985,0.8448262851844128,2.112065712961032
142,3006.0742187932533,0.9043056815041778,0.6868334967319604,0.8860456815703197,2.215114203925799
143,3017.7004815859427,0.9507500263035835,0.7483920998756675,0.8222632039916914,2.0556580099792283
144,3029.036017310309,1.0,0.7077630810325306,0.7866735452668352,1.966683863167088
145,3040.1221943509395,1.0,0.7710681213106069,0.7385726845825481,1.8464317114563702
146,3064.8409583911916,1.0,0.8238216804223555,0.6901552794585543,1.7253881986463857
147,3071.2160990331668,0.9043056815041778,0.06080231496229002,0.6172646862327271,0.0
148,3077.6708487754395,1.0,0.7119118261657398,0.5744299446936816,0.0
149,3086.810900909347,1.0,0.26241794058380413,0.5279851817257181,0.0
150,3091.850888915056,0.9043056815041778,0.19282757455828786,0.48974027991413005,0.0
151,3106.93264202733,1.0,0.7650588440863785,0.5412780063971797,0.0
152,3113.0063368235824,1.0,0.1216685903200268,0.5016938430082174,0.0
153,3127.4857740457546,1.0,0.0,0.5488385744392872,0.0
154,3140.6433063265117,1.0,0.4261082664599478,0.6232369725352408,0.0
155,3156.6253630236006,0.9043056815041778,0.2161904816776331,0.6650101429745369,0.0
156,3883.661386524417,0.6687457539921505,0.785285770026878,0.7193274732656373,1.7983186831640932
157,3904.8798541934148,0.49454613924203666,0.695208655568034,0.7444541771360348,1.861135442840087
158,3982.4821794225118,0.3657232698363789,0.6261696037915716,0.7238478509211108,1.809619627302777
159,3993.6595415659826,0.2704570908283893,0.7120958403762363,0.6753585538227771,1.6883963845569427
160,4009.085684774472,0.20000651862289462,0.7068823323586951,0.5529555244676521,1.3823888111691303
161,4897.319664462114,0.147907408783868,0.6840838237590938,0.40350179053673696,1.0087544763418423
162,4943.525904447972,1.0,0.7391082962606446,0.2328540237337093,0.0
163,4954.697692628305,0.9043056815041778,0.3062999341960909,0.43901117401115947,1.0975279350278986
164,5028.07069487965,0.6687457539921505,0.7305778066837294,0.5608265543065613,1.402066385766403
165,5058.828041621538,0.6861154405693632,0.8020729360434804,0.647330920357295,1.6183273008932375
166,5070.020525322342,0.8722819947397783,0.7903829626466985,0.9087644571849318,2.2719111429623293
167,5100.700858236617,1.0,0.8308903561125107,0.8911370863396967,2.2278427158492415
168,5122.670551099867,1.0,0.767163666684163,0.8588898947568592,2.1472247368921478
